Stock Exchange,Stock,Stock Ticker,Date,Open,High,Low,Close,Adj Close,Volume
NYSE,Apple,AAPL,10/7/2019, 56.57 , 57.48 , 56.46 , 56.76 , 56.21 ," 122,306,000 "
NYSE,Apple,AAPL,10/8/2019, 56.46 , 57.01 , 56.08 , 56.10 , 55.55 ," 111,820,000 "
NYSE,Apple,AAPL,10/9/2019, 56.76 , 56.95 , 56.41 , 56.76 , 56.20 ," 74,770,400 "
NYSE,Apple,AAPL,10/10/2019, 56.98 , 57.61 , 56.83 , 57.52 , 56.96 ," 113,013,600 "
NYSE,Apple,AAPL,10/11/2019, 58.24 , 59.41 , 58.08 , 59.05 , 58.47 ," 166,795,600 "
NYSE,Apple,AAPL,10/14/2019, 58.72 , 59.53 , 58.67 , 58.97 , 58.39 ," 96,427,600 "
NYSE,Apple,AAPL,10/15/2019, 59.10 , 59.41 , 58.72 , 58.83 , 58.25 ," 87,360,000 "
NYSE,Apple,AAPL,10/16/2019, 58.34 , 58.81 , 58.30 , 58.59 , 58.02 ," 73,903,200 "
NYSE,Apple,AAPL,10/17/2019, 58.77 , 59.04 , 58.38 , 58.82 , 58.24 ," 67,585,200 "
NYSE,Apple,AAPL,10/18/2019, 58.65 , 59.40 , 58.57 , 59.10 , 58.52 ," 97,433,600 "
NYSE,Apple,AAPL,10/21/2019, 59.38 , 60.25 , 59.33 , 60.13 , 59.54 ," 87,247,200 "
NYSE,Apple,AAPL,10/22/2019, 60.29 , 60.55 , 59.90 , 59.99 , 59.40 ," 82,293,600 "
NYSE,Apple,AAPL,10/23/2019, 60.53 , 60.81 , 60.31 , 60.79 , 60.20 ," 75,828,800 "
NYSE,Apple,AAPL,10/24/2019, 61.13 , 61.20 , 60.45 , 60.90 , 60.30 ," 69,275,200 "
NYSE,Apple,AAPL,10/25/2019, 60.79 , 61.68 , 60.72 , 61.65 , 61.04 ," 73,477,200 "
NYSE,Apple,AAPL,10/28/2019, 61.86 , 62.31 , 61.68 , 62.26 , 61.65 ," 96,572,800 "
