StockExchange,Stock,StockTicker,Date,Open,High,Low,Close,AdjClose,Volume
NYSE,Apple,AAPL,10/7/2019,56.57,57.48,56.46,56.76,56.21,122306000
NYSE,Apple,AAPL,10/8/2019,56.46,57.01,56.08,56.1,55.55,111820000
NYSE,Apple,AAPL,10/9/2019,56.76,56.95,56.41,56.76,56.2,74770400
NYSE,Apple,AAPL,10/10/2019,56.98,57.61,56.83,57.52,56.96,113013600
NYSE,Apple,AAPL,10/11/2019,58.24,59.41,58.08,59.05,58.47,166795600
NYSE,Apple,AAPL,10/14/2019,58.72,59.53,58.67,58.97,58.39,96427600
NYSE,Apple,AAPL,10/15/2019,59.1,59.41,58.72,58.83,58.25,87360000
NYSE,Apple,AAPL,10/16/2019,58.34,58.81,58.3,58.59,58.02,73903200
NYSE,Apple,AAPL,10/17/2019,58.77,59.04,58.38,58.82,58.24,67585200
NYSE,Apple,AAPL,10/18/2019,58.65,59.4,58.57,59.1,58.52,97433600
NYSE,Apple,AAPL,10/21/2019,59.38,60.25,59.33,60.13,59.54,87247200
NYSE,Apple,AAPL,10/22/2019,60.29,60.55,59.9,59.99,59.4,82293600
NYSE,Apple,AAPL,10/23/2019,60.53,60.81,60.31,60.79,60.2,75828800
NYSE,Apple,AAPL,10/24/2019,61.13,61.2,60.45,60.9,60.3,69275200
NYSE,Apple,AAPL,10/25/2019,60.79,61.68,60.72,61.65,61.04,73477200
NYSE,Apple,AAPL,10/28/2019,61.86,62.31,61.68,62.26,61.65,96572800
NYSE,Apple,AAPL,10/29/2019,62.24,62.44,60.64,60.82,60.22,142839600
NYSE,Apple,AAPL,10/30/2019,61.19,61.33,60.3,60.81,60.22,124522000
NYSE,Apple,AAPL,10/31/2019,61.81,62.29,59.31,62.19,61.58,139162000
NYSE,Apple,AAPL,11/1/2019,62.38,63.98,62.29,63.96,63.33,151125200
NYSE,Apple,AAPL,11/4/2019,64.33,64.46,63.85,64.38,63.74,103272000
NYSE,Apple,AAPL,11/5/2019,64.26,64.55,64.08,64.28,63.65,79897600
NYSE,Apple,AAPL,11/6/2019,64.19,64.37,63.84,64.31,63.68,75864400
NYSE,Apple,AAPL,11/7/2019,64.68,65.09,64.53,64.86,64.41,94940400
NYSE,Apple,AAPL,11/8/2019,64.67,65.11,64.21,65.04,64.59,69986400
NYSE,Apple,AAPL,11/11/2019,64.57,65.62,64.57,65.55,65.1,81821200
NYSE,Apple,AAPL,11/12/2019,65.39,65.7,65.23,65.49,65.04,87388800
NYSE,Apple,AAPL,11/13/2019,65.28,66.2,65.27,66.12,65.66,102734400
NYSE,Apple,AAPL,11/14/2019,65.94,66.22,65.53,65.66,65.21,89182800
NYSE,Apple,AAPL,11/15/2019,65.92,66.45,65.75,66.44,65.98,100206400
NYSE,Apple,AAPL,11/18/2019,66.45,66.86,66.06,66.78,66.32,86703200
NYSE,Apple,AAPL,11/19/2019,66.97,67,66.35,66.57,66.12,76167200
NYSE,Apple,AAPL,11/20/2019,66.39,66.52,65.1,65.8,65.35,106234400
NYSE,Apple,AAPL,11/21/2019,65.92,66,65.29,65.5,65.05,121395200
NYSE,Apple,AAPL,11/22/2019,65.65,65.79,65.21,65.45,65,65325200
NYSE,Apple,AAPL,11/25/2019,65.68,66.61,65.63,66.59,66.14,84020400
NYSE,Apple,AAPL,11/26/2019,66.74,66.79,65.63,66.07,65.62,105207600
NYSE,Apple,AAPL,11/27/2019,66.39,67,66.33,66.96,66.5,65235600
NYSE,Apple,AAPL,11/29/2019,66.65,67,66.47,66.81,66.35,46617600
NYSE,Apple,AAPL,12/2/2019,66.82,67.06,65.86,66.04,65.59,94487200
NYSE,Apple,AAPL,12/3/2019,64.58,64.88,64.07,64.86,64.42,114430400
NYSE,Apple,AAPL,12/4/2019,65.27,65.83,65.17,65.43,64.99,67181600
NYSE,Apple,AAPL,12/5/2019,65.95,66.47,65.68,66.39,65.94,74424400
NYSE,Apple,AAPL,12/6/2019,66.87,67.75,66.82,67.68,67.21,106075600
NYSE,Apple,AAPL,12/9/2019,67.5,67.7,66.23,66.73,66.27,128042400
NYSE,Apple,AAPL,12/10/2019,67.15,67.52,66.46,67.12,66.66,90420400
NYSE,Apple,AAPL,12/11/2019,67.2,67.78,67.13,67.69,67.23,78756800
NYSE,Apple,AAPL,12/12/2019,66.95,68.14,66.83,67.86,67.4,137310400
NYSE,Apple,AAPL,12/13/2019,67.86,68.82,67.73,68.79,68.32,133587600
NYSE,Apple,AAPL,12/16/2019,69.25,70.2,69.25,69.96,69.49,128186000
NYSE,Apple,AAPL,12/17/2019,69.89,70.44,69.7,70.1,69.62,114158400
NYSE,Apple,AAPL,12/18/2019,69.95,70.47,69.78,69.93,69.46,116028400
NYSE,Apple,AAPL,12/19/2019,69.88,70.29,69.74,70,69.53,98369200
NYSE,Apple,AAPL,12/20/2019,70.56,70.66,69.64,69.86,69.38,275978000
NYSE,Apple,AAPL,12/23/2019,70.13,71.06,70.09,71,70.51,98572000
NYSE,Apple,AAPL,12/24/2019,71.17,71.22,70.73,71.07,70.58,48478800
NYSE,Apple,AAPL,12/26/2019,71.21,72.5,71.18,72.48,71.98,93121200
NYSE,Apple,AAPL,12/27/2019,72.78,73.49,72.03,72.45,71.95,146266000
NYSE,Apple,AAPL,12/30/2019,72.36,73.17,71.31,72.88,72.38,144114400
NYSE,Apple,AAPL,12/31/2019,72.48,73.42,72.38,73.41,72.91,100805600
NYSE,Apple,AAPL,1/2/2020,74.06,75.15,73.8,75.09,74.57,135480400
NYSE,Apple,AAPL,1/3/2020,74.29,75.14,74.13,74.36,73.85,146322800
NYSE,Apple,AAPL,1/6/2020,73.45,74.99,73.19,74.95,74.44,118387200
NYSE,Apple,AAPL,1/7/2020,74.96,75.22,74.37,74.6,74.09,108872000
NYSE,Apple,AAPL,1/8/2020,74.29,76.11,74.29,75.8,75.28,132079200
NYSE,Apple,AAPL,1/9/2020,76.81,77.61,76.55,77.41,76.88,170108400
NYSE,Apple,AAPL,1/10/2020,77.65,78.17,77.06,77.58,77.05,140644800
NYSE,Apple,AAPL,1/13/2020,77.91,79.27,77.79,79.24,78.7,121532000
NYSE,Apple,AAPL,1/14/2020,79.18,79.39,78.04,78.17,77.63,161954400
NYSE,Apple,AAPL,1/15/2020,77.96,78.88,77.39,77.83,77.3,121923600
NYSE,Apple,AAPL,1/16/2020,78.4,78.93,78.02,78.81,78.27,108829200
NYSE,Apple,AAPL,1/17/2020,79.07,79.68,78.75,79.68,79.14,137816400
NYSE,Apple,AAPL,1/21/2020,79.3,79.75,79,79.14,78.6,110843200
NYSE,Apple,AAPL,1/22/2020,79.64,80,79.33,79.43,78.88,101832400
NYSE,Apple,AAPL,1/23/2020,79.48,79.89,78.91,79.81,79.26,104472000
NYSE,Apple,AAPL,1/24/2020,80.06,80.83,79.38,79.58,79.03,146537600
NYSE,Apple,AAPL,1/27/2020,77.51,77.94,76.22,77.24,76.71,161940000
NYSE,Apple,AAPL,1/28/2020,78.15,79.6,78.05,79.42,78.88,162234000
NYSE,Apple,AAPL,1/29/2020,81.11,81.96,80.35,81.08,80.53,216229200
NYSE,Apple,AAPL,1/30/2020,80.14,81.02,79.69,80.97,80.41,126743200
NYSE,Apple,AAPL,1/31/2020,80.23,80.67,77.07,77.38,76.85,199588400
NYSE,Apple,AAPL,2/3/2020,76.07,78.37,75.56,77.17,76.64,173985600
NYSE,Apple,AAPL,2/4/2020,78.83,79.91,78.41,79.71,79.17,136616400
NYSE,Apple,AAPL,2/5/2020,80.88,81.19,79.74,80.36,79.81,118826800
